LDA n components:,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Silhouette Score,Davies-Bouldin Index,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI)
68,0.9120772946859903,0.912377358299738,0.9120215567243377,0.912018692435893,0.09901253167219046,2.959226340095261,0.6794882510712275,0.5737500941430677
69,0.9120772946859905,0.9123485879051584,0.9120007116171429,0.9120190919280817,0.09703569820794611,2.9866879678325793,0.679656631566574,0.57395780164365
70,0.9144927536231885,0.9147518454750468,0.9144499104210704,0.914440048132094,0.0957920508228524,3.0196534623127995,0.6875685871074826,0.5821174581984778
71,0.91256038647343,0.9128772139210565,0.9124809272668308,0.9124970565525843,0.09430158078752775,3.0502360925210565,0.6810369894584755,0.5752927076461464
72,0.9140096618357487,0.9142680106761023,0.9139759767717812,0.913957917983204,0.09292223053679788,3.083291918402699,0.6859075731298245,0.5803567999378443
73,0.9140096618357487,0.9142680106761023,0.9139759767717812,0.913957917983204,0.09170707045317353,3.1101463865078083,0.6859075731298245,0.5803567999378444
74,0.9140096618357487,0.9142680106761023,0.9139759767717812,0.913957917983204,0.09043358697670249,3.139361420275759,0.6859075731298245,0.5803567999378443
75,0.9130434782608697,0.9133265724693256,0.9129809272668308,0.9129855752356016,0.08895911235675052,3.1722670072142485,0.6826324233645064,0.5768602275764242
76,0.9130434782608697,0.9133265724693256,0.9129809272668308,0.9129855752356016,0.08772111946318421,3.2006250986893408,0.6826324233645064,0.5768602275764242
77,0.91256038647343,0.9128571120728912,0.9124954903736269,0.9125009242383477,0.08644334635581423,3.2334415249870565,0.6811399027667073,0.5754658774489856
78,0.91256038647343,0.9128330804165149,0.9125001580360614,0.9125036308875846,0.08498032993348245,3.264419708054761,0.6811398289883168,0.5754134651730615
79,0.8342995169082126,0.7828068421189618,0.8309949351779202,0.7990540642901525,0.0679526018000686,2.643405817822327,0.5481597045199922,0.4644888964413082
80,0.9135265700483093,0.9138418529601602,0.9134501932536851,0.9134645246633146,0.0828416203585868,3.325338374762756,0.6842935278904748,0.5786952620053867
81,0.9140096618357489,0.9143306056422276,0.9139452427586358,0.9139487810690465,0.08163069648333648,3.355284945988162,0.6859638797781382,0.5805939554712278
82,0.9130434782608695,0.9132820483003314,0.9129809272668308,0.9129884684696765,0.08047727101618293,3.3878580258794586,0.6827259006229107,0.5769069900006905
83,0.91256038647343,0.9128330804165149,0.9125001580360614,0.9125036308875846,0.07930647312787056,3.418860115755398,0.6811398289883168,0.5754134651730615
84,0.91256038647343,0.9128438627815427,0.9124886547921467,0.9125013808605058,0.07833290306485652,3.4505447066966304,0.6813176709020105,0.5757865098175967
85,0.7531400966183576,0.6515879705549992,0.7493293215694191,0.6845716579453118,0.11009417474411229,2.212145755476745,0.41679620520426425,0.3548478732306609
86,0.91256038647343,0.9128228625062216,0.9125193832595547,0.9125059155165115,0.07609531785485588,3.515517247000387,0.6814298816728506,0.5761409730512181
87,0.91256038647343,0.9128675566671903,0.9124740916853507,0.9124972423534572,0.07506051791207737,3.540874461812252,0.6812054090599438,0.5756066035034167
88,0.91256038647343,0.9128406233382883,0.9124979845712785,0.9125017371804354,0.07371671161108564,3.576745428619637,0.681495405412188,0.5763023070029939
89,0.7483091787439614,0.7466048648818197,0.7452961507667784,0.6805681453029612,0.10288075870987326,2.3159314181305044,0.40041820135830725,0.33716787310223434
90,0.9135265700483093,0.9137427974750413,0.9134787538020477,0.9134748788651919,0.07186489021607377,3.650801178926072,0.6846675607222288,0.5793566076917982
91,0.9115942028985508,0.9118350225527141,0.9115013328125123,0.9115354111929502,0.07097263508735056,3.6880976516856,0.6782763361651527,0.5725968367562844
92,0.9130434782608695,0.9132862396734671,0.9130094878151933,0.9129919193788132,0.06955577731655453,3.7221798229306473,0.6829130168475699,0.5775150489867485
93,0.9106280193236715,0.9108632027248176,0.910553465513934,0.9105712356878077,0.0691893446126283,3.758141411420206,0.6749449464116419,0.5690275637257122
94,0.9101449275362319,0.9103487285936751,0.91006802862073,0.9100894721349251,0.06847640657273188,3.789183647308365,0.6733774675862987,0.5673294141707328
95,0.910144927536232,0.9104527513614624,0.9100649687578486,0.9100821074940668,0.0672489533454583,3.825862232375819,0.6732747022209676,0.5674858138980081
96,0.9101449275362319,0.9104107091054914,0.9100649687578487,0.9100845890019883,0.06626791268838872,3.862563632717277,0.6731716845030162,0.5671251386950322
97,0.9106280193236715,0.9108723346708498,0.9105910971798583,0.9105753413167536,0.06480987684071707,3.904641104764056,0.6749542680820028,0.5692771771423354
98,0.9106280193236715,0.9108723346708498,0.9105910971798583,0.9105753413167536,0.06387891242528433,3.94289224719265,0.6749542680820028,0.5692771771423354
99,0.910144927536232,0.9104112515474352,0.9101358407187184,0.9100945078028617,0.06318448596437794,3.9819166393882726,0.673302616386523,0.567727770243773
100,0.9111111111111111,0.9113541741107019,0.9110973791802568,0.9110613741017201,0.06251707667362782,4.0127961635994565,0.6763438480792494,0.5706011324675649
